"Trends","Search volume","Started","Ended","Trend breakdown","Explore link"
"ssc mts slot booking","10K+","January 15, 2026 at 12:20:00 AM UTC+5:30",,"ssc mts slot booking,ssc mts slot booking date 2026,ssc mts slot booking date,mts slot booking","./explore?q=ssc%20mts%20slot%20booking&geo=IN"
"14 जनवरी 2026 चांदी का भाव","5K+","January 15, 2026 at 5:10:00 PM UTC+5:30",,"14 जनवरी 2026 चांदी का भाव,15 january ko kya hai","./explore?q=14%20%E0%A4%9C%E0%A4%A8%E0%A4%B5%E0%A4%B0%E0%A5%80%202026%20%E0%A4%9A%E0%A4%BE%E0%A4%82%E0%A4%A6%E0%A5%80%20%E0%A4%95%E0%A4%BE%20%E0%A4%AD%E0%A4%BE%E0%A4%B5&geo=IN"
"michael carrick","5K+","January 15, 2026 at 3:00:00 PM UTC+5:30",,"michael carrick","./explore?q=michael%20carrick&geo=IN"
"deepesh devendran","10K+","January 15, 2026 at 1:00:00 PM UTC+5:30",,"deepesh devendran","./explore?q=deepesh%20devendran&geo=IN"
"ssc mts","5K+","January 15, 2026 at 12:00:00 AM UTC+5:30",,"ssc mts","./explore?q=ssc%20mts&geo=IN"
"rbi office attendant","5K+","January 15, 2026 at 8:30:00 AM UTC+5:30",,"rbi office attendant,rbi office attendant notification,rbi office attendant notification 2026","./explore?q=rbi%20office%20attendant&geo=IN"
"ssc gd","5K+","January 15, 2026 at 10:00:00 PM UTC+5:30",,"ssc gd","./explore?q=ssc%20gd&geo=IN"
"ttt movie","5K+","January 15, 2026 at 1:00:00 PM UTC+5:30",,"ttt movie,thalaivar thambi thalaimaiyil review,ttt","./explore?q=ttt%20movie&geo=IN"
"bsf","5K+","January 15, 2026 at 9:50:00 PM UTC+5:30",,"bsf,itbp","./explore?q=bsf&geo=IN"
"prince of persia remake","2K+","January 15, 2026 at 3:00:00 PM UTC+5:30",,"prince of persia remake","./explore?q=prince%20of%20persia%20remake&geo=IN"
"bteup odd semester result 2025","2K+","January 15, 2026 at 2:40:00 PM UTC+5:30",,"bteup odd semester result 2025","./explore?q=bteup%20odd%20semester%20result%202025&geo=IN"
"exit poll bmc 2026","10K+","January 15, 2026 at 6:10:00 PM UTC+5:30",,"exit poll bmc 2026,bmc exit poll,aaj tak live,bmc election 2026 result,bmc election exit poll,bmc election exit poll 2026,aaj tak,bmc election result","./explore?q=exit%20poll%20bmc%202026&geo=IN"
"tennis australian open","5K+","January 15, 2026 at 7:50:00 AM UTC+5:30",,"tennis australian open,australian open tennis","./explore?q=tennis%20australian%20open&geo=IN"
"sophie ecclestone","5K+","January 15, 2026 at 8:20:00 PM UTC+5:30",,"sophie ecclestone","./explore?q=sophie%20ecclestone&geo=IN"
"verona vs bologna","20K+","January 15, 2026 at 10:20:00 PM UTC+5:30",,"verona vs bologna,real betis vs elche,rma,az alkmaar vs ajax","./explore?q=verona%20vs%20bologna&geo=IN"
"taskaree the smuggler's cast","5K+","January 14, 2026 at 11:40:00 PM UTC+5:30",,"taskaree the smuggler's cast,neeraj pandey,emraan hashmi,the smuggler web series,web series","./explore?q=taskaree%20the%20smuggler%27s%20cast&geo=IN"
"jennie","2K+","January 15, 2026 at 8:30:00 PM UTC+5:30",,"jennie","./explore?q=jennie&geo=IN"
"amanjot kaur","50K+","January 15, 2026 at 7:40:00 PM UTC+5:30","January 15, 2026 at 10:00:00 PM UTC+5:30","amanjot kaur","./explore?q=amanjot%20kaur&geo=IN"
"dev anand","2K+","January 15, 2026 at 12:30:00 PM UTC+5:30",,"dev anand","./explore?q=dev%20anand&geo=IN"
"ఇప్పటికే","5K+","January 15, 2026 at 12:20:00 PM UTC+5:30",,"ఇప్పటికే","./explore?q=%E0%B0%87%E0%B0%AA%E0%B1%8D%E0%B0%AA%E0%B0%9F%E0%B0%BF%E0%B0%95%E0%B1%87&geo=IN"
"हरलीन देओल","2K+","January 15, 2026 at 10:00:00 PM UTC+5:30",,"हरलीन देओल,इंडियंस बनाम वारियर्स,abhishek nayar","./explore?q=%E0%A4%B9%E0%A4%B0%E0%A4%B2%E0%A5%80%E0%A4%A8%20%E0%A4%A6%E0%A5%87%E0%A4%93%E0%A4%B2&geo=IN"
"pc vs pr","2K+","January 15, 2026 at 8:40:00 PM UTC+5:30",,"pc vs pr","./explore?q=pc%20vs%20pr&geo=IN"
"atharva taide","2K+","January 15, 2026 at 6:00:00 PM UTC+5:30",,"atharva taide","./explore?q=atharva%20taide&geo=IN"
"copa del rey","100K+","January 15, 2026 at 12:20:00 AM UTC+5:30","January 15, 2026 at 4:10:00 PM UTC+5:30","copa del rey","./explore?q=copa%20del%20rey&geo=IN"
"seven dials netflix","2K+","January 15, 2026 at 2:50:00 PM UTC+5:30",,"seven dials netflix,seven dials","./explore?q=seven%20dials%20netflix&geo=IN"
"citi ceo jane fraser","2K+","January 15, 2026 at 1:40:00 PM UTC+5:30",,"citi ceo jane fraser","./explore?q=citi%20ceo%20jane%20fraser&geo=IN"
"michael phelps","1K+","January 15, 2026 at 9:20:00 PM UTC+5:30",,"michael phelps","./explore?q=michael%20phelps&geo=IN"
"rajasthan 4th grade result","2K+","January 15, 2026 at 3:10:00 PM UTC+5:30",,"rajasthan 4th grade result,4rth grade result","./explore?q=rajasthan%204th%20grade%20result&geo=IN"
"sophie turner","1K+","January 15, 2026 at 8:20:00 PM UTC+5:30",,"sophie turner","./explore?q=sophie%20turner&geo=IN"
"exit poll","5K+","January 15, 2026 at 6:20:00 PM UTC+5:30",,"exit poll,abp maza,abp majha,मराठी","./explore?q=exit%20poll&geo=IN"
"arirang","1K+","January 15, 2026 at 8:30:00 PM UTC+5:30",,"arirang","./explore?q=arirang&geo=IN"
"jee mains 2026 admit card","2K+","January 15, 2026 at 7:10:00 PM UTC+5:30",,"jee mains 2026 admit card,jee mains admit card","./explore?q=jee%20mains%202026%20admit%20card&geo=IN"
"the bluff movie","2K+","January 15, 2026 at 10:40:00 AM UTC+5:30",,"the bluff movie,video film","./explore?q=the%20bluff%20movie&geo=IN"
"dax index","1K+","January 15, 2026 at 10:10:00 PM UTC+5:30",,"dax index","./explore?q=dax%20index&geo=IN"
"china shaksgam valley","2K+","January 15, 2026 at 3:30:00 PM UTC+5:30",,"china shaksgam valley","./explore?q=china%20shaksgam%20valley&geo=IN"
"rbi","5K+","January 15, 2026 at 8:40:00 AM UTC+5:30",,"rbi","./explore?q=rbi&geo=IN"
"mattu pongal","2K+","January 15, 2026 at 9:10:00 AM UTC+5:30",,"mattu pongal,mattu pongal 2026","./explore?q=mattu%20pongal&geo=IN"
"dhanush","2K+","January 15, 2026 at 11:50:00 AM UTC+5:30",,"dhanush,vignesh raja","./explore?q=dhanush&geo=IN"
"ibps","20K+","January 15, 2026 at 7:20:00 AM UTC+5:30","January 15, 2026 at 9:10:00 PM UTC+5:30","ibps,ibps po,ibps po final result 2025,ibps po result,ibps po final result","./explore?q=ibps&geo=IN"
"mrunal thakur","200+","January 15, 2026 at 10:10:00 PM UTC+5:30",,"mrunal thakur","./explore?q=mrunal%20thakur&geo=IN"
"finn allen","10K+","January 15, 2026 at 2:10:00 PM UTC+5:30","January 15, 2026 at 8:20:00 PM UTC+5:30","finn allen,harry dixon","./explore?q=finn%20allen&geo=IN"
"sof results","10K+","January 15, 2026 at 2:40:00 PM UTC+5:30","January 15, 2026 at 10:20:00 PM UTC+5:30","sof results,sof,result@sofworld.org,sof imo results 2025-26","./explore?q=sof%20results&geo=IN"
"perth scorchers vs renegades","20K+","January 15, 2026 at 6:10:00 PM UTC+5:30","January 15, 2026 at 7:50:00 PM UTC+5:30","perth scorchers vs renegades,tim seifert,sco vs ren,brendan doggett,perth scorchers vs melbourne renegades standings,mahli beardman,ren vs sco","./explore?q=perth%20scorchers%20vs%20renegades&geo=IN"
"up warriorz","2K+","January 15, 2026 at 10:20:00 PM UTC+5:30",,"up warriorz,upw,delhi capitals wpl","./explore?q=up%20warriorz&geo=IN"
"venkatesh","500+","January 15, 2026 at 8:50:00 PM UTC+5:30",,"venkatesh","./explore?q=venkatesh&geo=IN"
"central government salary account","10K+","January 15, 2026 at 4:30:00 AM UTC+5:30","January 15, 2026 at 7:40:00 PM UTC+5:30","central government salary account,account","./explore?q=central%20government%20salary%20account&geo=IN"
"kranti gaud","2K+","January 15, 2026 at 7:30:00 PM UTC+5:30","January 15, 2026 at 10:00:00 PM UTC+5:30","kranti gaud","./explore?q=kranti%20gaud&geo=IN"
"gunalan kamalini","10K+","January 15, 2026 at 7:50:00 PM UTC+5:30","January 15, 2026 at 9:00:00 PM UTC+5:30","gunalan kamalini","./explore?q=gunalan%20kamalini&geo=IN"
"happy pongal greetings","20K+","January 15, 2026 at 8:40:00 AM UTC+5:30","January 15, 2026 at 3:30:00 PM UTC+5:30","happy pongal greetings,happy pongal 2026 tamil,pongal wishes in english,happy pongal wishes in tamil,pongal wishes in tamil 2026,pongal wishes in tamil images,happy pongal 2026 wishes,pongal wish,tamil calendar 2026,pongal wishes in tamil quotes,happy pongal 2026 images,tamil calendar,happy pongal tamil,thai pongal 2026,pongal greetings in tamil,simple kolam designs,pongal quotes,pongal status,happy pongal 2026 in tamil,happy pongal tamil wishes,happy pongal 2026 wishes tamil,iniya pongal","./explore?q=happy%20pongal%20greetings&geo=IN"
"efl cup","20K+","January 15, 2026 at 12:50:00 AM UTC+5:30","January 15, 2026 at 9:30:00 AM UTC+5:30","efl cup,arsenal vs chelsea,carabao cup,chelsea,arsenal,arsenal f.c.,efl,alejandro garnacho,chelsea f.c.,arsenal fc,chelsea fc,arsenal f.c,chelsea f.c. vs arsenal f.c.,ben white","./explore?q=efl%20cup&geo=IN"
"jennie kim","500+","January 15, 2026 at 9:20:00 PM UTC+5:30",,"jennie kim","./explore?q=jennie%20kim&geo=IN"
"xiaomi redmi note 15 pro+","200+","January 15, 2026 at 11:00:00 PM UTC+5:30",,"xiaomi redmi note 15 pro+","./explore?q=xiaomi%20redmi%20note%2015%20pro%2B&geo=IN"
"bridgerton","1K+","January 15, 2026 at 11:50:00 AM UTC+5:30",,"bridgerton","./explore?q=bridgerton&geo=IN"
"sam elliott","5K+","January 15, 2026 at 2:20:00 PM UTC+5:30","January 15, 2026 at 7:00:00 PM UTC+5:30","sam elliott","./explore?q=sam%20elliott&geo=IN"
"election commission of india","10K+","January 15, 2026 at 7:40:00 AM UTC+5:30","January 15, 2026 at 2:40:00 PM UTC+5:30","election commission of india","./explore?q=election%20commission%20of%20india&geo=IN"
"voter id","10K+","January 15, 2026 at 8:30:00 AM UTC+5:30","January 15, 2026 at 3:10:00 PM UTC+5:30","voter id","./explore?q=voter%20id&geo=IN"
"palmeiras vs santos","5K+","January 15, 2026 at 3:20:00 AM UTC+5:30","January 15, 2026 at 2:40:00 PM UTC+5:30","palmeiras vs santos","./explore?q=palmeiras%20vs%20santos&geo=IN"
"jorge cestero","10K+","January 15, 2026 at 12:50:00 AM UTC+5:30","January 15, 2026 at 12:20:00 PM UTC+5:30","jorge cestero,david jiménez,cesar palacios,fran garcía","./explore?q=jorge%20cestero&geo=IN"
"inter vs lecce","10K+","January 15, 2026 at 12:20:00 AM UTC+5:30","January 15, 2026 at 1:20:00 PM UTC+5:30","inter vs lecce,inter milan","./explore?q=inter%20vs%20lecce&geo=IN"
"bison movie","2K+","January 15, 2026 at 4:20:00 PM UTC+5:30","January 15, 2026 at 8:50:00 PM UTC+5:30","bison movie","./explore?q=bison%20movie&geo=IN"
"अमनजोत कौर","2K+","January 15, 2026 at 7:40:00 PM UTC+5:30","January 15, 2026 at 9:50:00 PM UTC+5:30","अमनजोत कौर,डब्ल्यूपीएल","./explore?q=%E0%A4%85%E0%A4%AE%E0%A4%A8%E0%A4%9C%E0%A5%8B%E0%A4%A4%20%E0%A4%95%E0%A5%8C%E0%A4%B0&geo=IN"
"pubg","2K+","January 15, 2026 at 7:50:00 AM UTC+5:30","January 15, 2026 at 8:30:00 PM UTC+5:30","pubg","./explore?q=pubg&geo=IN"
"ashwini gowda","200+","January 15, 2026 at 10:30:00 PM UTC+5:30",,"ashwini gowda","./explore?q=ashwini%20gowda&geo=IN"
"tv9 marathi live","2K+","January 15, 2026 at 10:30:00 AM UTC+5:30","January 15, 2026 at 8:50:00 PM UTC+5:30","tv9 marathi live","./explore?q=tv9%20marathi%20live&geo=IN"
"sankranti wishes in kannada","5K+","January 15, 2026 at 4:30:00 AM UTC+5:30","January 15, 2026 at 2:10:00 PM UTC+5:30","sankranti wishes in kannada,makar sankranti wishes in kannada,happy sankranti wishes in kannada,makar sankranti 2026 wishes in kannada","./explore?q=sankranti%20wishes%20in%20kannada&geo=IN"
"new zealand live cricket match","10K+","January 14, 2026 at 11:40:00 PM UTC+5:30","January 15, 2026 at 9:10:00 AM UTC+5:30","new zealand live cricket match,cricket match new zealand,cricket match new zealand india,live cricket match ind vs nz,yesterday match,yesterday cricket match,yesterday match result","./explore?q=new%20zealand%20live%20cricket%20match&geo=IN"
"15 january 2026","5K+","January 15, 2026 at 12:00:00 AM UTC+5:30","January 15, 2026 at 5:50:00 PM UTC+5:30","15 january 2026,राशिफल,15 january,कुंभ राशिफल 14 जनवरी 2026,15 jan,मेष राशिफल 15 जनवरी 2026","./explore?q=15%20january%202026&geo=IN"
"gold silver prices","5K+","January 15, 2026 at 4:40:00 PM UTC+5:30","January 15, 2026 at 6:50:00 PM UTC+5:30","gold silver prices,share market today,gold silver price record","./explore?q=gold%20silver%20prices&geo=IN"
"sankranthi wishes","5K+","January 15, 2026 at 4:50:00 AM UTC+5:30","January 15, 2026 at 1:10:00 PM UTC+5:30","sankranthi wishes,happy sankranti 2026 wishes,makar sankranti 2026 wishes,sankranthi 2026,happy makar sankranti 2026 wishes","./explore?q=sankranthi%20wishes&geo=IN"
"pongal wishes 2026","10K+","January 15, 2026 at 4:00:00 AM UTC+5:30","January 15, 2026 at 12:20:00 PM UTC+5:30","pongal wishes 2026,இனிய பொங்கல் நல்வாழ்த்துக்கள்,happy pongal wishes 2026,pongal 2026 wishes,pongal timing 2026,பொங்கல் வைக்க நல்ல நேரம் 2026,pongal wishes images,பொங்கல் வைக்கும் நேரம் 2026,பொங்கல் வாழ்த்துக்கள் 2026,pongal time 2026 nalla neram,pongal nalla neram 2026,thai pongal wishes in tamil,pongal 2026 wishes in tamil,pongal greetings 2026 images,pongal tamil wishes,பொங்கல் வாழ்த்துக்கள் கவிதை,பொங்கல் நல்வாழ்த்துக்கள்,pongal tamil","./explore?q=pongal%20wishes%202026&geo=IN"
"yellamma movie","1K+","January 15, 2026 at 5:20:00 PM UTC+5:30","January 15, 2026 at 11:00:00 PM UTC+5:30","yellamma movie","./explore?q=yellamma%20movie&geo=IN"
"sankranthi subhakankshalu","10K+","January 15, 2026 at 6:20:00 AM UTC+5:30","January 15, 2026 at 1:00:00 PM UTC+5:30","sankranthi subhakankshalu,happy sankranti in telugu,sankranti subhakankshalu in telugu,sankranti wishes telugu,sankranti wishes in telugu text,makar sankranti wishes in telugu,sankranti 2026 wishes in telugu,sankranthi wishes in telugu,మకర సంక్రాంతి శుభాకాంక్షలు 2026","./explore?q=sankranthi%20subhakankshalu&geo=IN"
"where to watch united states national under-19 cricket team vs india national under-19 cricket team","2K+","January 15, 2026 at 1:50:00 PM UTC+5:30","January 15, 2026 at 8:20:00 PM UTC+5:30","where to watch united states national under-19 cricket team vs india national under-19 cricket team,icc under-19 cricket world cup,tanzania u-19 vs west indies u-19","./explore?q=where%20to%20watch%20united%20states%20national%20under-19%20cricket%20team%20vs%20india%20national%20under-19%20cricket%20team&geo=IN"
"jefté betancor","5K+","January 15, 2026 at 3:20:00 AM UTC+5:30","January 15, 2026 at 11:20:00 AM UTC+5:30","jefté betancor,albacete,real madrid cf,real madrid fc,madrid match,albacete balompié vs real madrid lineups,real madrid games,copa del rey games,rma fc,albacete balompié vs real madrid stats","./explore?q=jeft%C3%A9%20betancor&geo=IN"
"state election commission maharashtra","2K+","January 15, 2026 at 7:30:00 AM UTC+5:30","January 15, 2026 at 3:00:00 PM UTC+5:30","state election commission maharashtra,election commission","./explore?q=state%20election%20commission%20maharashtra&geo=IN"
"juwai teer result","10K+","January 15, 2026 at 2:30:00 PM UTC+5:30","January 15, 2026 at 4:50:00 PM UTC+5:30","juwai teer result,teer result,khanapara teer result,shillong teer chart,teer result today","./explore?q=juwai%20teer%20result&geo=IN"
"ryan hurst","2K+","January 15, 2026 at 2:00:00 AM UTC+5:30","January 15, 2026 at 2:10:00 PM UTC+5:30","ryan hurst","./explore?q=ryan%20hurst&geo=IN"
"मेग लैनिंग","200+","January 15, 2026 at 9:30:00 PM UTC+5:30","January 15, 2026 at 10:40:00 PM UTC+5:30","मेग लैनिंग","./explore?q=%E0%A4%AE%E0%A5%87%E0%A4%97%20%E0%A4%B2%E0%A5%88%E0%A4%A8%E0%A4%BF%E0%A4%82%E0%A4%97&geo=IN"
"happy sankranti wishes","5K+","January 15, 2026 at 6:30:00 AM UTC+5:30","January 15, 2026 at 11:50:00 AM UTC+5:30","happy sankranti wishes,sankranti wishes 2026,sankranti 2026 wishes,sankranti wishes in english,sankranti wishes images,makar sankranti wishes in english,happy makar sankranti 2026 images,sankranti songs","./explore?q=happy%20sankranti%20wishes&geo=IN"
"યુએસએ યુ-૧૯ વિ. ઇન્ડિયા યુ-૧૯","500+","January 15, 2026 at 8:00:00 PM UTC+5:30","January 15, 2026 at 9:40:00 PM UTC+5:30","યુએસએ યુ-૧૯ વિ. ઇન્ડિયા યુ-૧૯","./explore?q=%E0%AA%AF%E0%AB%81%E0%AA%8F%E0%AA%B8%E0%AA%8F%20%E0%AA%AF%E0%AB%81-%E0%AB%A7%E0%AB%AF%20%E0%AA%B5%E0%AA%BF.%20%E0%AA%87%E0%AA%A8%E0%AB%8D%E0%AA%A1%E0%AA%BF%E0%AA%AF%E0%AA%BE%20%E0%AA%AF%E0%AB%81-%E0%AB%A7%E0%AB%AF&geo=IN"
"ladli behna yojana","2K+","January 15, 2026 at 8:40:00 AM UTC+5:30","January 15, 2026 at 8:10:00 PM UTC+5:30","ladli behna yojana","./explore?q=ladli%20behna%20yojana&geo=IN"
"iqoo 15","2K+","January 15, 2026 at 2:40:00 AM UTC+5:30","January 15, 2026 at 10:50:00 PM UTC+5:30","iqoo 15","./explore?q=iqoo%2015&geo=IN"
"సంక్రాంతి శుభాకాంక్షలు","2K+","January 15, 2026 at 4:20:00 AM UTC+5:30","January 15, 2026 at 11:40:00 AM UTC+5:30","సంక్రాంతి శుభాకాంక్షలు","./explore?q=%E0%B0%B8%E0%B0%82%E0%B0%95%E0%B1%8D%E0%B0%B0%E0%B0%BE%E0%B0%82%E0%B0%A4%E0%B0%BF%20%E0%B0%B6%E0%B1%81%E0%B0%AD%E0%B0%BE%E0%B0%95%E0%B0%BE%E0%B0%82%E0%B0%95%E0%B1%8D%E0%B0%B7%E0%B0%B2%E0%B1%81&geo=IN"
"us visa processing 75 countries","5K+","January 15, 2026 at 2:00:00 AM UTC+5:30","January 15, 2026 at 8:00:00 AM UTC+5:30","us visa processing 75 countries,75 countries visa freeze,immigrant visas 75 countries,immigrant visas,pakistan","./explore?q=us%20visa%20processing%2075%20countries&geo=IN"
"porto vs benfica","2K+","January 15, 2026 at 1:40:00 AM UTC+5:30","January 15, 2026 at 10:30:00 AM UTC+5:30","porto vs benfica","./explore?q=porto%20vs%20benfica&geo=IN"
"mohammad rizwan","2K+","January 15, 2026 at 4:00:00 PM UTC+5:30","January 15, 2026 at 5:20:00 PM UTC+5:30","mohammad rizwan,will sutherland","./explore?q=mohammad%20rizwan&geo=IN"
"nagaland lottery","5K+","January 15, 2026 at 7:30:00 AM UTC+5:30","January 15, 2026 at 9:30:00 PM UTC+5:30","nagaland lottery,lottery sambad lottery sambad,dear lottery sambad,night lottery sambad,nagaland state lottery result,lottery sambad morning","./explore?q=nagaland%20lottery&geo=IN"
"పొంగల్","1K+","January 15, 2026 at 3:20:00 PM UTC+5:30","January 15, 2026 at 7:30:00 PM UTC+5:30","పొంగల్","./explore?q=%E0%B0%AA%E0%B1%8A%E0%B0%82%E0%B0%97%E0%B0%B2%E0%B1%8D&geo=IN"
"mayawati","1K+","January 15, 2026 at 7:40:00 AM UTC+5:30","January 15, 2026 at 9:00:00 PM UTC+5:30","mayawati","./explore?q=mayawati&geo=IN"
"gavi gangadhareshwara temple","500+","January 15, 2026 at 4:50:00 PM UTC+5:30","January 15, 2026 at 6:50:00 PM UTC+5:30","gavi gangadhareshwara temple","./explore?q=gavi%20gangadhareshwara%20temple&geo=IN"
"icc u19","500+","January 15, 2026 at 5:40:00 PM UTC+5:30","January 15, 2026 at 8:40:00 PM UTC+5:30","icc u19","./explore?q=icc%20u19&geo=IN"
"real madrid vs albacete","1K+","January 15, 2026 at 2:00:00 AM UTC+5:30","January 15, 2026 at 11:20:00 AM UTC+5:30","real madrid vs albacete","./explore?q=real%20madrid%20vs%20albacete&geo=IN"
"garmin quatix 8 pro","2K+","January 15, 2026 at 7:40:00 AM UTC+5:30","January 15, 2026 at 11:30:00 AM UTC+5:30","garmin quatix 8 pro","./explore?q=garmin%20quatix%208%20pro&geo=IN"
"bajaj chetak c2501","2K+","January 15, 2026 at 2:20:00 AM UTC+5:30","January 15, 2026 at 11:20:00 AM UTC+5:30","bajaj chetak c2501,bajaj chetak electric scooter","./explore?q=bajaj%20chetak%20c2501&geo=IN"
